text_idx,seed,ext_ratio_pct,orig_chars,ref_chars,ext_chars,hyb_chars,hyb_ratio,bart_input_tokens,bart_truncated,hyb_bert_f1,hyb_rouge1,hyb_rouge2,hyb_rougeL,hyb_kw_match,hyb_kw_content_match,gen_bert_f1,gen_rouge1,gen_rouge2,gen_rougeL,gen_kw_match,gen_kw_content_match,gen_bart_tokens,gen_bart_truncated,gen_length_basis,hyb_rouge1_morph,hyb_rouge2_morph,hyb_rougeL_morph,gen_rouge1_morph,gen_rouge2_morph,gen_rougeL_morph
1,123,69,1130,100,462,290,0.257,238,0,0.6157,0.3097,0.0792,0.147,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2574,0.02,0.1485,0.2011,0.0745,0.1164
1,123,70,1130,100,462,290,0.257,238,0,0.6157,0.3097,0.0792,0.147,0.1443,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2574,0.02,0.1485,0.2011,0.0745,0.1164
1,123,71,1130,100,545,335,0.296,286,0,0.6027,0.2864,0.0802,0.1268,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2241,0.0261,0.1466,0.2011,0.0745,0.1164
1,123,72,1130,100,545,335,0.296,286,0,0.6027,0.2864,0.0802,0.1268,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2241,0.0261,0.1466,0.2011,0.0745,0.1164
1,123,73,1130,100,545,335,0.296,286,0,0.6027,0.2864,0.0802,0.1268,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2241,0.0261,0.1466,0.2011,0.0745,0.1164
1,123,74,1130,100,545,335,0.296,286,0,0.6027,0.2864,0.0802,0.1268,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2241,0.0261,0.1466,0.2011,0.0745,0.1164
1,123,75,1130,100,545,335,0.296,286,0,0.6027,0.2864,0.0802,0.1268,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2241,0.0261,0.1466,0.2011,0.0745,0.1164
1,123,76,1130,100,602,361,0.319,311,0,0.604,0.2743,0.0756,0.1283,0.1546,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2213,0.0239,0.1423,0.2011,0.0745,0.1164
1,123,77,1130,100,602,361,0.319,311,0,0.604,0.2743,0.0756,0.1283,0.1546,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2213,0.0239,0.1423,0.2011,0.0745,0.1164
1,123,78,1130,100,602,361,0.319,311,0,0.604,0.2743,0.0756,0.1283,0.1546,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2213,0.0239,0.1423,0.2011,0.0745,0.1164
1,123,79,1130,100,602,361,0.319,311,0,0.604,0.2743,0.0756,0.1283,0.1546,0.1481,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2213,0.0239,0.1423,0.2011,0.0745,0.1164
1,123,80,1130,100,630,384,0.34,324,0,0.6101,0.2568,0.0719,0.1263,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2047,0.0238,0.126,0.2011,0.0745,0.1164
1,123,81,1130,100,630,384,0.34,324,0,0.6101,0.2568,0.0719,0.1263,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2047,0.0238,0.126,0.2011,0.0745,0.1164
1,123,82,1130,100,630,384,0.34,324,0,0.6101,0.2568,0.0719,0.1263,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2047,0.0238,0.126,0.2011,0.0745,0.1164
1,123,83,1130,100,630,384,0.34,324,0,0.6101,0.2568,0.0719,0.1263,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2047,0.0238,0.126,0.2011,0.0745,0.1164
1,123,84,1130,100,630,384,0.34,324,0,0.6101,0.2568,0.0719,0.1263,0.1649,0.1111,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2047,0.0238,0.126,0.2011,0.0745,0.1164
1,123,85,1130,100,697,424,0.375,357,0,0.619,0.2741,0.1008,0.1236,0.2474,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2168,0.0352,0.1259,0.2011,0.0745,0.1164
1,123,86,1130,100,697,424,0.375,357,0,0.619,0.2741,0.1008,0.1236,0.2474,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2168,0.0352,0.1259,0.2011,0.0745,0.1164
1,123,87,1130,100,697,424,0.375,357,0,0.619,0.2741,0.1008,0.1236,0.2474,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2168,0.0352,0.1259,0.2011,0.0745,0.1164
1,123,88,1130,100,697,424,0.375,357,0,0.619,0.2741,0.1008,0.1236,0.2474,0.2593,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.2168,0.0352,0.1259,0.2011,0.0745,0.1164
1,123,89,1130,100,854,565,0.5,436,0,0.591,0.2003,0.0519,0.0905,0.1546,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1718,0.0208,0.1168,0.2011,0.0745,0.1164
1,123,90,1130,100,854,565,0.5,436,0,0.591,0.2003,0.0519,0.0905,0.1546,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1718,0.0208,0.1168,0.2011,0.0745,0.1164
1,123,91,1130,100,854,565,0.5,436,0,0.591,0.2003,0.0519,0.0905,0.1546,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1718,0.0208,0.1168,0.2011,0.0745,0.1164
1,123,92,1130,100,854,565,0.5,436,0,0.591,0.2003,0.0519,0.0905,0.1546,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1718,0.0208,0.1168,0.2011,0.0745,0.1164
1,123,93,1130,100,854,565,0.5,436,0,0.591,0.2003,0.0519,0.0905,0.1546,0.0741,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1718,0.0208,0.1168,0.2011,0.0745,0.1164
1,123,94,1130,100,967,569,0.504,494,0,0.6388,0.2293,0.1059,0.1297,0.3402,0.2963,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1887,0.0488,0.1132,0.2011,0.0745,0.1164
1,123,95,1130,100,967,569,0.504,494,0,0.6388,0.2293,0.1059,0.1297,0.3402,0.2963,0.6489,0.2432,0.1205,0.1351,0.3918,0.4444,512,1,extracted,0.1887,0.0488,0.1132,0.2011,0.0745,0.1164
